actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
8902,890200,-3.0751362,1.0091602,0.03344984,-0.026635494,100,0.0,28988,2898800,6.0296583,4.7486615,4.7701507,5.3778424,2.9545221,5.757821,4.803601,5.3512073,1.9752645,2.7938619,2.1292474,2.4964306,9.468825215717345,1.0,0.455
8910,891000,3.735619,-0.92535084,0.07724728,-0.04284913,100,0.0,29014,2901400,3.929277,4.9387655,4.689958,5.3740997,7.664896,4.013415,4.7672057,5.3312507,0.1335781,2.537019,2.1257572,2.4906423,10.776902604031518,1.0,0.455
8918,891800,3.5766408,-0.5923289,0.11099089,-0.038823944,100,7.0,29040,2904000,1.447943,4.5936766,4.589662,5.3714604,5.024584,4.001348,4.700653,5.332637,1.447943,2.1358676,2.0848074,2.4930131,10.737772844210408,1.0,0.455
8922,892200,1.282484,0.48051652,0.15406018,-0.018668707,100,4.0,29055,2905500,6.3023543,4.1650305,4.559663,5.365944,7.5848384,4.645547,4.713723,5.347275,1.8258555,2.2146158,2.0626326,2.4965625,9.267865404905324,1.0,0.453
8926,892600,5.2123976,0.53615946,0.080158845,-0.017282339,100,6.0,29071,2907100,2.84735,4.4396715,4.6331153,5.3663507,8.059748,4.975831,4.7132735,5.349068,0.27826303,2.075303,2.0923672,2.495836,9.322273186018013,1.0,0.453
8934,893400,0.2028346,0.051642727,0.022447668,-0.014864603,100,0.0,29094,2909400,4.322596,4.6704054,4.747577,5.3551135,4.5254307,4.7220473,4.7700253,5.340249,0.29108435,1.7617443,2.1337788,2.4731426,10.757047355789329,1.0,0.458
8942,894200,-3.2594295,-1.4786419,-0.17476088,-0.027394965,100,0.0,29121,2912100,7.3741026,6.413179,5.0006614,5.3670707,4.114673,4.934537,4.8259,5.339676,0.12882827,2.4374783,2.199075,2.4744933,10.599365322446648,1.0,0.457
8950,895000,5.6101313,-1.1419547,-0.23510903,-0.048448395,100,22.0,29146,2914600,2.7065544,5.9734073,5.066191,5.37479,8.316686,4.831453,4.8310823,5.3263416,0.39224708,2.3907423,2.1642213,2.469769,9.493877209922298,1.0,0.46
8958,895800,0.81145763,1.5563908,0.0004446316,-0.036524266,100,0.0,29169,2916900,5.464322,4.5931463,4.9622307,5.3755484,6.2757797,6.1495376,4.9626756,5.3390236,2.9623709,2.6818523,2.2341292,2.4755723,10.863135552263643,0.0,0.458
8966,896600,-6.5513725,0.92031825,0.043387424,-0.029851604,100,0.0,29199,2919900,9.813477,6.7571716,5.046982,5.391075,3.2621043,7.6774893,5.090369,5.3612237,2.1151385,4.2447615,2.3352244,2.4938154,9.376795258430809,0.0,0.458
8974,897400,-3.2688699,0.16312933,0.035937473,-0.036984283,100,0.0,29222,2922200,7.78186,6.1541243,5.2789636,5.399296,4.51299,6.317253,5.314902,5.3623114,1.8268929,2.8824935,2.4584444,2.4949477,10.830049717273305,1.0,0.457
8978,897800,-2.0036373,0.19641447,0.06808025,-0.04710161,100,0.0,29238,2923800,8.8641815,6.213068,5.31604,5.406699,6.860544,6.4094825,5.384121,5.3595977,5.4232054,3.1965148,2.5254087,2.5025048,9.322004666265306,0.0,0.455
8986,898600,-4.3861246,0.077295825,0.025947828,-0.053151682,100,0.0,29262,2926200,5.1901684,5.8892746,5.3604164,5.4104533,0.80404377,5.966571,5.3863635,5.3573017,0.33118066,2.6613464,2.4744384,2.4980407,10.768807055424604,1.0,0.457
8994,899400,-1.6568718,0.3061978,-0.089667365,-0.0499614,100,0.0,29288,2928800,6.5520864,5.386444,5.401549,5.410007,4.8952146,5.692642,5.3118825,5.360045,0.087957524,2.8030581,2.5049675,2.50561,10.887690810538656,1.0,0.457
9002,900200,-2.2674165,-0.035744857,-0.14448825,-0.062526874,100,0.0,29313,2931300,9.463644,5.6532145,5.4695787,5.424803,7.1962276,5.617469,5.325089,5.3622756,0.84463733,2.6375213,2.485438,2.5164661,10.822202246778177,1.0,0.455
9006,900600,4.72272,-0.15846911,-0.11292465,-0.0692445,100,68.0,29327,2932700,2.116106,4.62177,5.4414406,5.416554,6.838826,4.463301,5.3285155,5.3473096,2.116106,1.5371011,2.4222631,2.5109832,9.433504037242592,0.0,0.456
9014,901400,2.0859828,0.61013126,-0.09571245,-0.065227404,100,21.0,29352,2935200,4.904774,4.3994513,5.510407,5.4182487,6.990757,5.0095825,5.414694,5.353021,4.904774,2.558728,2.4851608,2.5193925,10.738484322360375,0.0,0.454
9022,902200,-5.567569,1.6130928,0.05440014,-0.05364105,100,0.0,29377,2937700,10.226103,5.9770484,5.6443176,5.419017,4.658534,7.5901413,5.698717,5.365376,1.7126204,3.475816,2.6050608,2.5208867,9.407760898518253,1.0,0.455
9030,903000,7.60199,-0.96961725,0.009974918,-0.075194426,100,5.0,29401,2940100,1.2326283,6.828275,5.749588,5.4329667,8.834619,5.8586583,5.7595615,5.3577724,1.2326283,3.0132496,2.7381887,2.531179,10.886300187098941,1.0,0.454
9038,903800,-2.5569005,-0.0694273,0.121134005,-0.06204744,100,0.0,29429,2942900,5.7486067,5.520068,5.708167,5.4247212,3.1917062,5.4506407,5.8293004,5.3626738,2.112224,2.6195302,2.8055027,2.5374467,9.399256894019944,0.0,0.452
9046,904600,3.2259011,-0.53047085,0.2950047,-0.06005951,100,18.0,29454,2945400,5.2391725,5.697794,5.554967,5.4193516,8.465074,5.167323,5.849972,5.359292,0.71338546,2.4473763,2.7876077,2.53798,10.770705752370045,1.0,0.452
9054,905400,-6.06341,-0.5018322,0.18779047,-0.055013016,100,0.0,29481,2948100,9.05871,5.6040187,5.6751685,5.398209,2.9953005,5.102186,5.862959,5.343196,0.0767141,2.1485047,2.7820568,2.5158484,9.423288677656366,1.0,0.457
9062,906200,2.405119,0.8107489,0.20658341,-0.055177435,100,13.0,29506,2950600,2.4632702,5.23452,5.607101,5.3942757,4.868389,6.045269,5.8136854,5.339098,0.2521558,2.1508183,2.632132,2.50931,9.541728569281691,1.0,0.458
9070,907000,3.5707302,1.4378935,0.23990136,-0.0462271,100,0.0,29530,2953000,6.8068695,5.705957,5.578615,5.391751,10.3776,7.143851,5.8185167,5.3455243,5.4311104,3.6573398,2.6505713,2.5192978,10.709469574467574,0.0,0.457
9078,907800,-4.002939,-0.1294227,0.30099055,-0.03612629,100,0.0,29559,2955900,11.279199,7.1593046,5.5938587,5.380689,7.2762594,7.029882,5.8948493,5.3445625,3.133921,4.514292,2.746608,2.5174918,9.530376019476368,0.0,0.457
9086,908600,-0.9809356,0.6406266,0.3925731,-0.03351314,100,0.0,29584,2958400,5.744713,5.5878153,5.590559,5.3882794,4.7637773,6.2284417,5.9831324,5.354766,0.08923532,2.6117718,2.804849,2.5250347,10.787310916504936,1.0,0.456
9094,909400,-0.50446653,0.81644917,0.41339266,-0.032027975,100,0.0,29611,2961100,5.199369,5.6548514,5.6373835,5.400316,4.6949024,6.4713006,6.0507746,5.3682885,3.364713,2.334575,2.7453015,2.5158155,9.616012356757823,0.0,0.459
9102,910200,3.8475587,0.59998345,0.41347575,-0.023894558,100,0.0,29634,2963400,3.36541,4.808552,5.577694,5.3916554,7.212969,5.4085355,5.99117,5.3677607,2.4780228,2.592036,2.743124,2.5164926,12.426311889672776,0.0,0.459
9110,911000,1.6183922,0.75795615,0.45322645,-0.012826042,100,0.0,29662,2966200,3.3644826,5.102006,5.6800885,5.3868923,4.982875,5.859962,6.1333146,5.3740664,2.580473,3.2045677,2.8741238,2.523996,9.477621599420953,0.0,0.456
9118,911800,-0.81299496,0.13706951,0.3415743,-0.0064986534,100,0.0,29686,2968600,9.431362,5.953154,5.734185,5.3912334,8.618367,6.0902233,6.0757594,5.384734,5.451423,3.8979073,2.9098628,2.5351636,10.688951353531166,0.0,0.454
9126,912600,-0.025071383,-0.6181811,0.20228814,-0.02188036,100,21.0,29712,2971200,2.1262786,6.6245904,5.772902,5.400709,2.1012073,6.0064096,5.9751887,5.378828,0.31583068,2.6428032,2.8654218,2.528591,9.568251075340775,1.0,0.456
9134,913400,-8.931026,-0.9816373,0.13117209,-0.016266098,100,0.0,29736,2973600,10.46198,6.6240206,5.827659,5.402471,1.5309536,5.642383,5.9588304,5.386205,1.5309536,1.8085091,2.8035042,2.5241196,10.862098867924509,0.0,0.458
9142,914200,-4.978979,-0.6431472,0.063278854,-0.018501934,100,0.0,29764,2976400,8.17895,6.0825377,5.891983,5.414386,3.199971,5.43939,5.9552627,5.395883,2.328438,2.3079455,2.7865458,2.5273607,9.291269101793672,0.0,0.456
9150,915000,1.0484228,1.4699701,0.26060525,0.00998004,100,0.0,29790,2979000,10.228205,5.43192,5.828891,5.4066143,11.276628,6.90189,6.089497,5.4165936,3.035063,3.7824306,2.9541085,2.5431802,9.456042800800418,0.0,0.452
9158,915800,-2.1769404,0.58796465,0.32430094,0.006002556,100,0.0,29816,2981600,7.6618075,5.674264,5.915259,5.423882,5.484867,6.262229,6.23956,5.429885,5.138382,2.5861995,2.9936564,2.54383,10.6777132511153,0.0,0.453
9166,916600,-0.14733815,-0.6784651,0.081976384,-0.009676571,100,7.0,29843,2984300,3.5298111,6.289603,6.045525,5.425559,3.382473,5.6111383,6.1275,5.415882,2.3993316,3.2446074,3.0998893,2.538518,10.719042542493234,0.0,0.454
9170,917000,-7.7413635,-1.2880458,-0.083840534,-0.021015815,100,4.0,29857,2985700,8.711784,6.3114066,6.0082173,5.4293885,0.97042096,5.0233603,5.924377,5.408373,0.34504914,3.067184,2.9657593,2.5340595,9.325788367217948,1.0,0.455
9178,917800,-8.858116,-0.9750415,-0.13539429,-0.01081385,100,0.0,29882,2988200,10.594953,5.7768397,5.9346595,5.421911,1.7368367,4.8017983,5.799265,5.4110966,1.5784354,2.4717815,2.8663082,2.5378819,10.755899801463661,1.0,0.455
9186,918600,-0.5872655,-1.3806114,-0.32092845,-0.018834747,100,14.0,29909,2990900,6.286822,5.115034,5.882826,5.404406,5.6995564,3.7344227,5.5618978,5.3855715,3.7785962,1.9971043,2.7876215,2.524814,9.563337378342485,0.0,0.459
9194,919400,0.14042807,1.4059765,-0.16651015,0.016110275,100,0.0,29933,2993300,4.53652,5.5554914,5.863664,5.4071503,4.676948,6.9614677,5.6971526,5.4232607,1.8063694,3.359676,2.9248323,2.5394068,10.745668162257564,1.0,0.456
9198,919800,0.3404541,2.545395,-0.032283533,0.025977124,100,0.0,29947,2994700,9.90862,5.2765627,5.8232613,5.40412,10.249074,7.821958,5.790977,5.4300976,6.820034,3.8497593,2.9253476,2.5452933,9.386785433794378,0.0,0.455
9206,920600,4.4941635,0.27567318,-0.17070697,0.025958057,100,3.0,29972,2997200,5.259243,5.022863,5.88056,5.40703,9.753407,5.298536,5.7098536,5.432988,5.259243,2.1228366,2.849071,2.5458033,10.719692636498516,0.0,0.456
9214,921400,-6.295977,0.6060913,-0.15679614,0.027018718,100,0.0,29997,2999700,11.35006,5.504482,5.910611,5.413619,5.0540833,6.110574,5.753814,5.4406376,2.1189969,3.2197418,2.8326938,2.5537574,10.729317382206633,0.0,0.455
9218,921800,-7.31046,-1.239766,-0.21617146,0.019390013,100,0.0,30011,3001100,10.164947,6.3444734,5.888829,5.4212413,2.8544865,5.1047072,5.6726575,5.440631,0.17749947,3.0961528,2.7921407,2.5598335,9.334861433313714,1.0,0.453
9226,922600,7.3393874,-0.59988797,-0.15565346,0.016793968,100,89.0,30037,3003700,0.36337805,4.379559,5.702909,5.416796,7.7027655,3.7796707,5.547256,5.4335904,0.36337805,0.97646695,2.675611,2.547814,10.641152753661721,1.0,0.456
